Company;Valuation($B);Date_Joined;Country;City;Industry;Select_Investors;Url
Bytedance;$140;4/7/2017;China;Beijing;Artificial intelligence;Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group;https://www.cbinsights.com/company/bytedance
SpaceX;$100.3;12/1/2012;United States;Hawthorne;Other;Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures;https://www.cbinsights.com/company/space-exploration-technologies
Stripe;$95;1/23/2014;United States;San Francisco;Fintech;Khosla Ventures, LowercaseCapital, capitalG;https://www.cbinsights.com/company/stripe
Klarna;$45.6;12/12/2011;Sweden;Stockholm;Fintech;Institutional Venture Partners, Sequoia Capital, General Atlantic;https://www.cbinsights.com/company/klarna
Canva;$40;1/8/2018;Australia;Surry Hills;Internet software & services;Sequoia Capital China, Blackbird Ventures, Matrix Partners;https://www.cbinsights.com/company/canva
Instacart;$39;12/30/2014;United States;San Francisco;Supply chain, logistics, & delivery;Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund;https://www.cbinsights.com/company/instacart
Databricks;$38;2/5/2019;United States;San Francisco;Data management & analytics;Andreessen Horowitz, New Enterprise Associates, Battery Ventures;https://www.cbinsights.com/company/databricks
Revolut;$33;4/26/2018;United Kingdom;London;Fintech;index Ventures, DST Global, Ribbit Capital;https://www.cbinsights.com/company/revolut
Nubank;$30;3/1/2018;Brazil;Sao Paulo;Fintech;Sequoia Capital, Redpoint e.ventures, Kaszek Ventures;https://www.cbinsights.com/company/nubank
Epic Games;$28.7;10/26/2018;United States;Cary;Other;Tencent Holdings, KKR, Smash Ventures;https://www.cbinsights.com/company/epic-games
Rivian;$27.6;9/10/2019;United States;Plymouth;Auto & transportation;Amazon, Ford Motor Company, Cox Automotive;https://www.cbinsights.com/company/rivian-automotive
Chime;$25;3/5/2019;United States;San Francisco;Fintech;Forerunner Ventures, Crosslink Capital, Homebrew;https://www.cbinsights.com/company/chimecard
FTX;$25;7/20/2021;Hong Kong;;Fintech;Sequoia Capital, Thoma Bravo, Softbank;https://www.cbinsights.com/company/ftx
Fanatics;$18;6/6/2012;United States;Jacksonville;E-commerce & direct-to-consumer;SoftBank Group, Andreessen Horowitz, Temasek Holdings;https://www.cbinsights.com/company/fanatics
